Sorszám,Bíróság
1,Főváros: Fővárosi Törvényszék Cégbírósága
2,Baranya megye: Pécsi Törvényszék Cégbírósága
3,Bács-Kiskun megye: Kecskeméti Törvényszék Cégbírósága
4,Békés megye: Gyulai Törvényszék Cégbírósága
5,Borsod-Abaúj-Zemplén megye: Miskolci Törvényszék Cégbírósága
6,Csongrád megye: Szegedi Törvényszék Cégbírósága
7,Fejér megye: Székesfehérvári Törvényszék Cégbírósága
8,Győr-Moson-Sopron megye: Győri Törvényszék Cégbírósága
9,Hajdú-Bihar megye: Debreceni Törvényszék Cégbírósága
10,Heves megye: Egri Törvényszék Cégbírósága
11,Komárom-Esztergom megye: Tatabányai Törvényszék Cégbírósága
12,Nógrád megye: Balassagyarmati Törvényszék Cégbírósága
13,Pest megye: Budapest Környéki Törvényszék Cégbírósága
14,Somogy megye: Kaposvári Törvényszék Cégbírósága
15,Szabolcs-Szatmár-Bereg megye: Nyíregyházi Törvényszék Cégbírósága
16,Jász-Nagykun-Szolnok megye: Szolnoki Törvényszék Cégbírósága
17,Tolna megye: Szekszárdi Törvényszék Cégbírósága
18,Vas megye: Szombathelyi Törvényszék Cégbírósága
19,Veszprém megye: Veszprémi Törvényszék Cégbírósága
0,Zala megye: Zalaegerszegi Törvényszék Cégbírósága
